Code,Trouble Code System,Condition Description
P0725,Powertrain,Engine Speed input Circuit Malfunction
P0726,Powertrain,Engine Speed Input Circuit Range/Performance
P0727,Powertrain,Engine Speed Input Circuit No Signal
P0728,Powertrain,Engine Speed Input Circuit Intermittent
P0729,Powertrain,Gear 6 Incorrect Ratio
P072A,Powertrain,Stuck in Neutral
P072B,Powertrain,Stuck In Reverse
P072C,Powertrain,Stuck in Gear 1
P072D,Powertrain,Stuck in Gear 2
P072E,Powertrain,Stuck in Gear 3
P072F,Powertrain,Stuck in Gear 4
P0730,Powertrain,Incorrect Gear Ratio
P0731,Powertrain,Gear I Incorrect ratio
P0732,Powertrain,Gear 2 Incorrect ratio
P0733,Powertrain,Gear 3 incorrect ratio
P0733,Powertrain,Gear 3 Incorrect ratio
P0734,Powertrain,Gear 4 Incorrect ratio
P0735,Powertrain,Gear 5 Incorrect ratio
P0736,Powertrain,Reverse incorrect gear ratio
P0737,Powertrain,TCM Engine Speed Output Circuit
P0738,Powertrain,TCM Engine Speed Output Circuit Low
P0739,Powertrain,TCM Engine Speed Output Circuit High
P073A,Powertrain,Stuck in Gear 5
P073B,Powertrain,Stuck in Gear 6
P073C,Powertrain,Stuck in Gear 7
P073D,Powertrain,Unable to Engage Neutral
P073E,Powertrain,Unable to Engage Reverse
P073F,Powertrain,Unable to Engage Gear 1
P0740,Powertrain,Torque Converter Clutch Circuit Malfunction
P0741,Powertrain,Torque Converter Clutch Circuit Performance or Stuck Off
P0742,Powertrain,Torque Converter Clutch Circuit Stock On
P0743,Powertrain,Torque Converter Clutch Circuit Electrical
P0744,Powertrain,Torque Converter Clutch Circuit Intermittent
P0745,Powertrain,Pressure Control Solenoid A Malfunction
P0746,Powertrain,Pressure Control Solenoid A Performance or Stuck Off
P0747,Powertrain,Pressure Control Solenoid A Stuck On
P0748,Powertrain,Pressure Control Solenoid A Electrical
P0749,Powertrain,Pressure Control Solenoid A Intermittent
P074A,Powertrain,Unable To Engage Gear 2
P074B,Powertrain,Unable To Engage Gear 3
P074C,Powertrain,Unable To Engage Gear 4
P074D,Powertrain,Unable To Engage Gear 5
P074E,Powertrain,Unable To Engage Gear 6
P074F,Powertrain,Unable To Engage Gear 7
P0750,Powertrain,Shift solenoid A malfunction
P0750,Powertrain,Shift Solenoid A Malfunction
P0751,Powertrain,Shift Solenoid A Performance or Stuck Off
P0752,Powertrain,Shift Solenoid A Stuck On
P0753,Powertrain,Shift Solenoid A Electrical
P0754,Powertrain,Shift Solenoid A Intermittent
P0755,Powertrain,Shift Solenoid B Malfunction
P0756,Powertrain,Shift Solenoid B Performance or Stock Off
P0757,Powertrain,Shift Solenoid B Stuck On
P0758,Powertrain,Shift Solenoid B Electrical
P0759,Powertrain,Shift Solenoid B Intermittent
P075A,Powertrain,Shift Solenoid G Malfunction
P075B,Powertrain,Shift Solenoid G Performance/Stuck Off
P075C,Powertrain,Shift Solenoid G Stuck On
P075D,Powertrain,Shift Solenoid G Electrical
P075E,Powertrain,Shift Solenoid G Intermittent
P075F,Powertrain,Transmission Fluid Level Too High
P0760,Powertrain,Shift Solenoid C Malfunction
P0761,Powertrain,Shift Solenoid C Performance or Stuck Off
P0762,Powertrain,Shift Solenoid C Stuck On
P0763,Powertrain,Shift Solenoid C Electrical
P0764,Powertrain,Shift Solenoid C Intermittent
P0765,Powertrain,Shift Solenoid D Malfunction
P0766,Powertrain,Shift Solenoid D Performance or Stuck Off
P0767,Powertrain,Shift Solenoid D Stuck On
P0768,Powertrain,Shift Solenoid D Electrical
P0769,Powertrain,Shift Solenoid D Intermittent
P076A,Powertrain,Shift Solenoid H Malfunction
P076B,Powertrain,Shift Solenoid H Performance/Stuck Off
P076C,Powertrain,Shift Solenoid H Stuck On
P076D,Powertrain,Shift Solenoid H Electrical
P076E,Powertrain,Shift Solenoid H Intermittent
P076F,Powertrain,Gear 7 Incorrect Ratio
P0770,Powertrain,Shift Solenoid E Malfunction
P0771,Powertrain,Shift Solenoid E Performance or Stuck Off
P0772,Powertrain,Shift Solenoid E Stuck On
P0773,Powertrain,Shift Solenoid E Electrical
P0774,Powertrain,Shift Solenoid E Intermittent
P0775,Powertrain,Pressure Control Solenoid B Malfunction
P0776,Powertrain,Pressure Control Solenoid B Performance or Stuck Off
P0777,Powertrain,Pressure Control Solenoid B Stuck On
P0778,Powertrain,Pressure Control Solenoid B Electrical
P0779,Powertrain,Pressure Control Solenoid B Intermittent
P077A,Powertrain,Output Speed Sensor Circuit - Loss of Direction Signal
P077B,Powertrain,Output Speed Sensor Circuit - Direction Error
P0780,Powertrain,Shift Malfunction
P0781,Powertrain,1-2 Shift malfunction
P0782,Powertrain,2-3 Shift malfunction
P0783,Powertrain,3-4 Shift malfunction
P0784,Powertrain,4-5 Shift Malfunction
P0785,Powertrain,Shift Timing Solenoid A Malfunction
P0786,Powertrain,Shift Timing Solenoid A Range/Performance
P0787,Powertrain,Shift Timing Solenoid A Low
P0788,Powertrain,Shift Timing Solenoid A High
P0789,Powertrain,Shift Timing Solenoid A Intermittent
P078A,Powertrain,Shift Timing Solenoid B Malfunction
P078B,Powertrain,Shift Timing Solenoid B Range/Performance
P078C,Powertrain,Shift Timing Solenoid B Low
P078D,Powertrain,Shift Timing Solenoid B High
P078E,Powertrain,Shift Timing Solenoid B Intermittent
P0790,Powertrain,Normal/Performance Switch Circuit Malfunction
P0791,Powertrain,Intermediate Shaft Speed Sensor A Circuit
P0792,Powertrain,Intermediate Shaft Speed Sensor A Circuit Range/Performance
P0793,Powertrain,Intermediate Shaft Speed Sensor A Circuit No Signal
P0794,Powertrain,Intermediate Shaft Speed Sensor A Circuit Intermittent
P0795,Powertrain,Pressure Control Solenoid C Malfunction
P0796,Powertrain,Pressure Control Solenoid C Performance or Stuck off
P0797,Powertrain,Pressure Control Solenoid C Stuck On
P0798,Powertrain,Pressure Control Solenoid C Electrical
P0799,Powertrain,Pressure Control Solenoid C Intermittent
P079A,Powertrain,Transmission Friction Element  - Slip Detected
P079B,Powertrain,Transmission Friction Element  - Slip Detected
P079C,Powertrain,Transmission Friction Element - Slip Detected
P079D,Powertrain,Transmission Friction Element - Slip Detected
P079E,Powertrain,Transmission Friction Element - Slip Detected
P079F,Powertrain,Transmission Friction Element - Slip Detected
P07A0,Powertrain,Transmission Friction Element - Slip Detected
P07A1,Powertrain,Transmission Friction Element - Slip Detected
P07A2,Powertrain,Transmission Friction Element  - Performance/Stuck Off
P07A3,Powertrain,Transmission Friction Element  - Stuck On
P07A4,Powertrain,Transmission Friction Element  - Performance/Stuck Off
P07A5,Powertrain,Transmission Friction Element  - Stuck On
P07A6,Powertrain,Transmission Friction Element - Performance/Stuck Off
P07A7,Powertrain,Transmission Friction Element - Stuck On
P07A8,Powertrain,Transmission Friction Element - Performance/Stuck Off
P07A9,Powertrain,Transmission Friction Element - Stuck On
P07AA,Powertrain,Transmission Friction Element - Performance/Stuck Off
P07AB,Powertrain,Transmission Friction Element - Stuck On
P07AC,Powertrain,Transmission Friction Element - Performance/Stuck Off
P07AD,Powertrain,Transmission Friction Element - Stuck On
P07AE,Powertrain,Transmission Friction Element - Performance/Stuck Off
P07AF,Powertrain,Transmission Friction Element - Stuck On
P07B0,Powertrain,Transmission Friction Element - Performance/Stuck Off
P07B1,Powertrain,Transmission Friction Element - Stuck On
P07B2,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Open
P07B3,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Low
P07B4,Powertrain,Transmission Park Position Sensor/Switch  - Circuit High
P07B5,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Performance/Low
P07B6,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Performance High
P07B7,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Intermittent/Erratic
P07B8,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Open
P07B9,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Low
P07BA,Powertrain,Transmission Park Position Sensor/Switch  - Circuit High
P07BB,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Performance/Low
P07BC,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Performance High
P07BD,Powertrain,Transmission Park Position Sensor/Switch  - Circuit Intermittent/Erratic
P07BE,Powertrain,Transmission Park Position Sensor/Switch   - Correlation
P0800,Powertrain,Transfer Case Control System (MIL Request)
P0801,Powertrain,Reverse Inhibit Control Circuit Malfunction
P0802,Powertrain,Transmission Control System MIL Request Circuit/Open
P0803,Powertrain,1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfunction
P0804,Powertrain,1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction
P0805,Powertrain,Clutch Position Sensor Circuit
P0806,Powertrain,Clutch Position Sensor Circuit Range/Performance
P0807,Powertrain,Clutch Position Sensor Circuit Low
P0808,Powertrain,Clutch Position Sensor Circuit High
P0809,Powertrain,Clutch Position Sensor Circuit Intermittent
P080A,Powertrain,Clutch Position Not Learned
P080B,Powertrain,Upshift/Skip Shift Solenoid Control Circuit Range/Performance
P080C,Powertrain,Upshift/Skip Shift Solenoid Control Circuit Low
P080D,Powertrain,Upshift/Skip Shift Solenoid Control Circuit High
P0810,Powertrain,Clutch Position Control Error
P0811,Powertrain,Excessive Clutch Slippage
P0812,Powertrain,Reverse Input Circuit
P0813,Powertrain,Reverse Output Circuit
P0814,Powertrain,Transmission Range Display Circuit
P0815,Powertrain,Upshift Switch Circuit
P0816,Powertrain,Downshift Switch Circuit
P0817,Powertrain,Starter Disable Circuit
P0818,Powertrain,Driveline Disconnect Switch Input Circuit
P0819,Powertrain,Up and Down Shift Switch to Transmission Range Correlation
P081A,Powertrain,Starter Disable Circuit Low
P081B,Powertrain,Starter Disable Circuit High
P081C,Powertrain,Park Input Circuit
P081D,Powertrain,Neutral Input Circuit
P081E,Powertrain,Excessive Clutch  - Slippage
P0820,Powertrain,Gear Lever X-Y Position Sensor Circuit
P0821,Powertrain,Gear Lever X Position Circuit
P0822,Powertrain,Gear Lever Y Position Circuit
P0823,Powertrain,Gear Lever X Position Circuit Intermittent
P0824,Powertrain,Gear Lever Y Position Circuit Intermittent
P0825,Powertrain,Gear Lever Push-Pull Switch (Shift Anticipate)
P0826,Powertrain,Up and Down Shift Switch Circuit
P0827,Powertrain,Up and Down Shift Switch Circuit Low
P0828,Powertrain,Up and Down Shift Switch Circuit High
P0829,Powertrain,5-6 Shift Malfunction
P082A,Powertrain,Gear Lever X Position Circuit Range/Performance
P082B,Powertrain,Gear Lever X Position Circuit Low
P082C,Powertrain,Gear Lever X Position Circuit High
P082D,Powertrain,Gear Lever Y Position Circuit Range/Performance
P082E,Powertrain,Gear Lever Y Position Circuit Low
P082F,Powertrain,Gear Lever Y Position Circuit High
P0830,Powertrain,Clutch Pedal Switch  - Circuit
P0831,Powertrain,Clutch Pedal Switch  - Circuit Low
P0832,Powertrain,Clutch Pedal Switch  - Circuit High
P0833,Powertrain,Clutch Pedal Switch  - Circuit
P0834,Powertrain,Clutch Pedal Switch  - Circuit Low
P0835,Powertrain,Clutch Pedal Switch  - Circuit High
P0836,Powertrain,Four Wheel Drive (4WD) Switch Circuit
P0837,Powertrain,Four Wheel Drive (4WD) Switch Circuit Range/Performance
P0838,Powertrain,Four Wheel Drive (4WD) Switch Circuit Low
P0839,Powertrain,Four Wheel Drive (4WD) Switch Circuit High
P083A,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit
P083B,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Range/Performance
P083C,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Low
P083D,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit High
P083E,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Intermittent
P083F,Powertrain,Clutch Pedal Switch   - Correlation
P0840,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit
P0841,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit Range/Performance
P0842,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit Low
P0843,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit High
P0844,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit Intermittent
P0845,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit
P0846,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit Range/Performance
P0847,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit Low
P0848,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit High
P0849,Powertrain,Transmission Fluid Pressure Sensor/Switch  - Circuit Intermittent
P084A,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit
P084B,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Range/Performance
P084C,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Low
P084D,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit High
P084E,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Intermittent
P084F,Powertrain,Park/Neutral Switch Output Circuit
P0850,Powertrain,Park/Neutral Switch Input Circuit
P0851,Powertrain,Park/Neutral Switch Input Circuit Low
P0852,Powertrain,Park/Neutral Switch Input Circuit High
P0853,Powertrain,Drive Switch Input Circuit
P0854,Powertrain,Drive Switch Input Circuit Low
P0855,Powertrain,Drive Switch Input Circuit High
P0856,Powertrain,Traction Control Input Signal
P0857,Powertrain,Traction Control Input Signal Range/Performance
P0858,Powertrain,Traction Control Input Signal Low
P0859,Powertrain,Traction Control Input Signal High
P085A,Powertrain,Gear Shift Control Module  - Communication Circuit
P085B,Powertrain,Gear Shift Control Module  - Communication Circuit Low
P085C,Powertrain,Gear Shift Control Module  - Communication Circuit High
P085D,Powertrain,Gear Shift Control Module  - Performance
P085E,Powertrain,Gear Shift Control Module  - Performance
P0860,Powertrain,Gear Shift Module Communication Circuit
P0861,Powertrain,Gear Shift Module Communication Circuit Low
P0862,Powertrain,Gear Shift Module Communication Circuit High
P0863,Powertrain,TCM Communication Circuit
P0864,Powertrain,TCM Communication Circuit Range/Performance
P0865,Powertrain,TCM Communication Circuit Low
P0866,Powertrain,TCM Communication Circuit High
P0867,Powertrain,Transmission Fluid Pressure
P0868,Powertrain,Transmission Fluid Pressure Low 
P0869,Powertrain,Transmission Fluid Pressure High
P0870,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit
P0871,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Range/Performance
P0872,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Low
P0873,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit High
P0874,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Intermittent
P0875,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit
P0876,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Range/Performance
P0877,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Low
P0878,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit High
P0879,Powertrain,Transmission Fluid Pressure Sensor/Switch - Circuit Intermittent
P0880,Powertrain,TCM Power Input Signal
P0881,Powertrain,TCM Power Input Signal Range/Performance
P0882,Powertrain,TCM Power Input Signal Low
P0883,Powertrain,TCM Power Input Signal High
P0884,Powertrain,TCM Power Input Signal Intermittent
P0885,Powertrain,TCM Power Relay Control Circuit/Open
P0886,Powertrain,TCM Power Relay Control Circuit Low
P0887,Powertrain,TCM Power Relay Control Circuit High
P0888,Powertrain,TCM Power Relay Sense Circuit
P0889,Powertrain,TCM Power Relay Sense Circuit Range/Performance
P088A,Powertrain,Transmission Fluid Filter Deteriorated
P088B,Powertrain,Transmission Fluid Filter Very Deteriorated
P0890,Powertrain,TCM Power Relay Sense Circuit Low
P0891,Powertrain,TCM Power Relay Sense Circuit High
P0892,Powertrain,TCM Power Relay Sense Circuit Intermittent
P0893,Powertrain,Multiple Gears Engaged
P0894,Powertrain,Transmission Component Slipping
P0895,Powertrain,Shift Time Too Short
P0896,Powertrain,Shift Time Too Long
P0897,Powertrain,Transmission Fluid Deteriorated
P0898,Powertrain,Transmission Control System MIL Request Circuit Low
P0899,Powertrain,Transmission Control System MIL Request Circuit High
P0900,Powertrain,Clutch Actuator Circuit/Open 
P0901,Powertrain,Clutch Actuator Circuit Range/Performance
P0902,Powertrain,Clutch Actuator Circuit Low
P0903,Powertrain,Clutch Actuator Circuit High
P0904,Powertrain,Gate Select Position Circuit 
P0905,Powertrain,Gate Select Position Circuit Range/Performance 
P0906,Powertrain,Gate Select Position Circuit Low
P0907,Powertrain,Gate Select Position Circuit High
P0908,Powertrain,Gate Select Position Circuit Intermittent
P0909,Powertrain,Gate Select Control Error
P0910,Powertrain,Gate Select Actuator Circuit/Open
P0911,Powertrain,Gate Select Actuator Circuit Range/Performance
P0912,Powertrain,Gate Select Actuator Circuit Low
P0913,Powertrain,Gate Select Actuator Circuit High 
P0914,Powertrain,Gear Shift Position Circuit
P0915,Powertrain,Gear Shift Position Circuit Range/Performance
P0916,Powertrain,Gear Shift Position Circuit Low
P0917,Powertrain,Gear Shift Position Circuit High
P0918,Powertrain,Gear Shift Position Circuit Intermittent
P0919,Powertrain,Gear Shift Position Control Error
P0920,Powertrain,Gear Shift Forward Actuator Circuit/Open
P0921,Powertrain,Gear Shift Forward Actuator Circuit Range/Performance 
P0922,Powertrain,Gear Shift Forward Actuator Circuit Low 
P0923,Powertrain,Gear Shift Forward Actuator Circuit High 
